feature_set,iteration,fold,class_label,precision,recall,f1
understand追加後 (excl3),iteration_1,avg_of_10folds,クラス1(TRUE),0.8033333333333333,0.8333333333333333,0.8004761904761905
understand追加後 (excl3),iteration_2,avg_of_10folds,クラス0(FALSE),0.8516666666666666,0.875,0.8480158730158729
understand追加後 (excl3),iteration_2,avg_of_10folds,クラス1(TRUE),0.8916666666666666,0.825,0.8435714285714285
understand追加後 (excl3),iteration_3,avg_of_10folds,クラス0(FALSE),0.7233333333333334,0.7083333333333333,0.7038888888888888
understand追加後 (excl3),iteration_3,avg_of_10folds,クラス1(TRUE),0.7833333333333334,0.7916666666666666,0.7692063492063491
understand追加後 (excl3),iteration_4,avg_of_10folds,クラス0(FALSE),0.8004761904761905,0.8,0.782012987012987
understand追加後 (excl3),iteration_4,avg_of_10folds,クラス1(TRUE),0.75,0.7666666666666666,0.746031746031746
understand追加後 (excl3),iteration_5,avg_of_10folds,クラス0(FALSE),0.7566666666666666,0.7,0.7079365079365079
understand追加後 (excl3),iteration_5,avg_of_10folds,クラス1(TRUE),0.73,0.7416666666666666,0.7279365079365079
understand追加後 (excl3),iteration_6,avg_of_10folds,クラス0(FALSE),0.7433333333333334,0.7083333333333333,0.7149206349206348
understand追加後 (excl3),iteration_6,avg_of_10folds,クラス1(TRUE),0.7616666666666667,0.775,0.7561904761904762
understand追加後 (excl3),iteration_7,avg_of_10folds,クラス0(FALSE),0.8083333333333332,0.8333333333333333,0.8036507936507936
understand追加後 (excl3),iteration_7,avg_of_10folds,クラス1(TRUE),0.8266666666666665,0.7416666666666667,0.7584920634920634
understand追加後 (excl3),iteration_8,avg_of_10folds,クラス0(FALSE),0.8616666666666667,0.7583333333333333,0.7788095238095237
understand追加後 (excl3),iteration_8,avg_of_10folds,クラス1(TRUE),0.7966666666666666,0.85,0.7980158730158731
understand追加後 (excl3),iteration_9,avg_of_10folds,クラス0(FALSE),0.8016666666666665,0.8666666666666666,0.8252380952380953
